# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.89002000E-09  0.14705027E+00  0.00000000E+00  0.71669108E-01  0.14370845E+09 -0.10325713E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90002000E-09  0.14848379E+00  0.00000000E+00  0.72149566E-01  0.14299325E+09 -0.10424531E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.91002000E-09  0.14991012E+00  0.00000000E+00  0.72630025E-01  0.14227112E+09 -0.10522871E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.92002000E-09  0.15132919E+00  0.00000000E+00  0.73110483E-01  0.14154211E+09 -0.10620727E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.93002000E-09  0.15274093E+00  0.00000000E+00  0.73590942E-01  0.14080624E+09 -0.10718095E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.94002000E-09  0.15414529E+00  0.00000000E+00  0.74071400E-01  0.14006355E+09 -0.10814968E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.95002000E-09  0.15554218E+00  0.00000000E+00  0.74551859E-01  0.13931409E+09 -0.10911342E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.96002000E-09  0.15693155E+00  0.00000000E+00  0.75032317E-01  0.13855788E+09 -0.11007210E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.97002000E-09  0.15831332E+00  0.00000000E+00  0.75512776E-01  0.13779496E+09 -0.11102568E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.98002000E-09  0.15968743E+00  0.00000000E+00  0.75993234E-01  0.13702537E+09 -0.11197411E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.99002000E-09  0.16105380E+00  0.00000000E+00  0.76473693E-01  0.13624915E+09 -0.11291733E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000200E-08  0.16241239E+00  0.00000000E+00  0.76954151E-01  0.13546633E+09 -0.11385529E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10100200E-08  0.16376311E+00  0.00000000E+00  0.77434610E-01  0.13467695E+09 -0.11478795E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10200200E-08  0.16510590E+00  0.00000000E+00  0.77915068E-01  0.13388105E+09 -0.11571524E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10300200E-08  0.16644071E+00  0.00000000E+00  0.78395527E-01  0.13307867E+09 -0.11663713E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10400200E-08  0.16776746E+00  0.00000000E+00  0.78875985E-01  0.13226985E+09 -0.11755356E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10500200E-08  0.16908608E+00  0.00000000E+00  0.79356444E-01  0.13145462E+09 -0.11846449E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10600200E-08  0.17039653E+00  0.00000000E+00  0.79836902E-01  0.13063303E+09 -0.11936986E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10700200E-08  0.17169872E+00  0.00000000E+00  0.80317361E-01  0.12980512E+09 -0.12026963E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
