# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.33000000E-09  0.19126771E-02  0.00000000E+00  0.52164482E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.34000000E-09  0.19126771E-02  0.00000000E+00  0.53840682E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.35000000E-09  0.19126771E-02  0.00000000E+00  0.55516882E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.36000000E-09  0.19126771E-02  0.00000000E+00  0.57193082E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.37000000E-09  0.19126771E-02  0.00000000E+00  0.58869282E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.38000000E-09  0.19126771E-02  0.00000000E+00  0.60545482E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.39000000E-09  0.19126771E-02  0.00000000E+00  0.62221682E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40000000E-09  0.19126771E-02  0.00000000E+00  0.63897882E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.41000000E-09  0.19126771E-02  0.00000000E+00  0.65574082E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.42000000E-09  0.19126771E-02  0.00000000E+00  0.67250281E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.43000000E-09  0.19126771E-02  0.00000000E+00  0.68926481E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.44000000E-09  0.19126771E-02  0.00000000E+00  0.70602681E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.45000000E-09  0.19126771E-02  0.00000000E+00  0.72278881E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.46000000E-09  0.19126771E-02  0.00000000E+00  0.73955081E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.47000000E-09  0.19126771E-02  0.00000000E+00  0.75631281E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.48000000E-09  0.19126771E-02  0.00000000E+00  0.77307481E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.49000000E-09  0.19126771E-02  0.00000000E+00  0.78983681E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50000000E-09  0.19126771E-02  0.00000000E+00  0.80659881E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.51000000E-09  0.19126771E-02  0.00000000E+00  0.82336081E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.52000000E-09  0.19126771E-02  0.00000000E+00  0.84012280E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.53000000E-09  0.19126771E-02  0.00000000E+00  0.85688480E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.54000000E-09  0.19126771E-02  0.00000000E+00  0.87364680E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.55002000E-09  0.19126771E-02  0.00000000E+00  0.89044233E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.56002000E-09  0.19126771E-02  0.00000000E+00  0.90720432E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.57002000E-09  0.19126771E-02  0.00000000E+00  0.92396632E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.58002000E-09  0.19126771E-02  0.00000000E+00  0.94072832E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.59002000E-09  0.19126771E-02  0.00000000E+00  0.95749032E-01  0.00000000E+00  0.00000000E+00  0.16761999E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
