# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.37000000E-09  0.66508755E-01  0.00000000E+00 -0.41096424E-01  0.17676055E+09 -0.48912650E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.38000000E-09  0.68274751E-01  0.00000000E+00 -0.40919150E-01  0.17643736E+09 -0.50065931E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.39000000E-09  0.70037473E-01  0.00000000E+00 -0.40741876E-01  0.17610560E+09 -0.51220683E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40000000E-09  0.71796835E-01  0.00000000E+00 -0.40564601E-01  0.17576528E+09 -0.52376566E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.41000000E-09  0.73552750E-01  0.00000000E+00 -0.40387327E-01  0.17541645E+09 -0.53533266E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.42000000E-09  0.75305135E-01  0.00000000E+00 -0.40210053E-01  0.17505910E+09 -0.54690494E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.43000000E-09  0.77053904E-01  0.00000000E+00 -0.40032778E-01  0.17469328E+09 -0.55847982E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.44000000E-09  0.78798973E-01  0.00000000E+00 -0.39855504E-01  0.17431900E+09 -0.57005482E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.45000000E-09  0.80540256E-01  0.00000000E+00 -0.39678229E-01  0.17393629E+09 -0.58162763E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.46000000E-09  0.82277670E-01  0.00000000E+00 -0.39500955E-01  0.17354516E+09 -0.59319609E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.47000000E-09  0.84011132E-01  0.00000000E+00 -0.39323681E-01  0.17314565E+09 -0.60475818E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.48000000E-09  0.85740556E-01  0.00000000E+00 -0.39146406E-01  0.17273776E+09 -0.61631200E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.49000000E-09  0.87465859E-01  0.00000000E+00 -0.38969132E-01  0.17232153E+09 -0.62785575E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50000000E-09  0.89186958E-01  0.00000000E+00 -0.38791857E-01  0.17189698E+09 -0.63938775E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.51000000E-09  0.90903771E-01  0.00000000E+00 -0.38614583E-01  0.17146413E+09 -0.65090638E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.52000000E-09  0.92616214E-01  0.00000000E+00 -0.38437309E-01  0.17102300E+09 -0.66241013E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.53000000E-09  0.94324204E-01  0.00000000E+00 -0.38260034E-01  0.17057362E+09 -0.67389755E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.54000000E-09  0.96027659E-01  0.00000000E+00 -0.38082760E-01  0.17011601E+09 -0.68536726E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.55002000E-09  0.97729889E-01  0.00000000E+00 -0.37905131E-01  0.16964925E+09 -0.69684082E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.56002000E-09  0.99424019E-01  0.00000000E+00 -0.37727857E-01  0.16917523E+09 -0.70827115E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.57002000E-09  0.10111337E+00  0.00000000E+00 -0.37550582E-01  0.16869306E+09 -0.71967996E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.58002000E-09  0.10279785E+00  0.00000000E+00 -0.37373308E-01  0.16820275E+09 -0.73106608E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.59002000E-09  0.10447739E+00  0.00000000E+00 -0.37196033E-01  0.16770432E+09 -0.74242840E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60002000E-09  0.10615191E+00  0.00000000E+00 -0.37018759E-01  0.16719782E+09 -0.75376581E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.61002000E-09  0.10782132E+00  0.00000000E+00 -0.36841485E-01  0.16668325E+09 -0.76507728E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.62002000E-09  0.10948555E+00  0.00000000E+00 -0.36664210E-01  0.16616066E+09 -0.77636178E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.63002000E-09  0.11114451E+00  0.00000000E+00 -0.36486936E-01  0.16563005E+09 -0.78761833E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.64002000E-09  0.11279812E+00  0.00000000E+00 -0.36309661E-01  0.16509146E+09 -0.79884597E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
