# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.90002000E-09  0.13696517E+00  0.00000000E+00  0.77138165E-01  0.13314149E+09 -0.10821788E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.91002000E-09  0.13829330E+00  0.00000000E+00  0.76517246E-01  0.13248291E+09 -0.10902314E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.92002000E-09  0.13961481E+00  0.00000000E+00  0.75896328E-01  0.13181756E+09 -0.10982668E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.93002000E-09  0.14092963E+00  0.00000000E+00  0.75275409E-01  0.13114547E+09 -0.11062836E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.94002000E-09  0.14223770E+00  0.00000000E+00  0.74654490E-01  0.13046670E+09 -0.11142804E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.95002000E-09  0.14353894E+00  0.00000000E+00  0.74033571E-01  0.12978129E+09 -0.11222560E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.96002000E-09  0.14483330E+00  0.00000000E+00  0.73412652E-01  0.12908928E+09 -0.11302091E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.97002000E-09  0.14612070E+00  0.00000000E+00  0.72791733E-01  0.12839073E+09 -0.11381384E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.98002000E-09  0.14740109E+00  0.00000000E+00  0.72170814E-01  0.12768567E+09 -0.11460427E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.99002000E-09  0.14867440E+00  0.00000000E+00  0.71549896E-01  0.12697415E+09 -0.11539209E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000200E-08  0.14994055E+00  0.00000000E+00  0.70928977E-01  0.12625621E+09 -0.11617718E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10100200E-08  0.15119950E+00  0.00000000E+00  0.70308058E-01  0.12553190E+09 -0.11695943E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10200200E-08  0.15245117E+00  0.00000000E+00  0.69687139E-01  0.12480127E+09 -0.11773874E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10300200E-08  0.15369550E+00  0.00000000E+00  0.69066220E-01  0.12406435E+09 -0.11851500E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10400200E-08  0.15493244E+00  0.00000000E+00  0.68445301E-01  0.12332119E+09 -0.11928811E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10500200E-08  0.15616191E+00  0.00000000E+00  0.67824382E-01  0.12257183E+09 -0.12005796E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10600200E-08  0.15738385E+00  0.00000000E+00  0.67203464E-01  0.12181632E+09 -0.12082447E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
