# x1 x2 x3 x4 x5 x6
# 51 6
# 51 6
 5.77897127e-03 -5.88263551e-03  5.56653142e-02  9.94081699e+07  1.45225495e+08  3.72869408e+07
 2.91454164e-03 -1.18994693e-02 -1.42908442e-02 -3.04363521e+07 -1.44580370e+08 -1.02360676e+08
-3.72849388e-03 -6.69246319e-04  3.38472084e-02  1.52926509e+08 -8.59459000e+07  8.49983207e+07
 2.94190160e-03  6.27779538e-03 -4.15191377e-02  5.47225651e+06 -1.65038819e+08 -7.42266244e+06
 2.99828123e-03 -1.52691830e-03 -3.71325281e-02  1.20175525e+08 -1.37415760e+08  3.11668223e+07
 1.05497933e-03  3.37272463e-03 -6.23886391e-02 -2.18005986e+07 -3.50870664e+07  1.88264899e+08
 2.24900507e-03  2.60988352e-04 -1.14541057e-01  1.80522347e+08 -1.96280638e+07 -6.26828285e+07
 7.84682374e-03 -8.22124140e-03  4.30145082e-02  1.79379704e+07 -1.75574409e+08  5.91851135e+07
 3.80969191e-03  5.88603637e-03 -9.79274152e-02 -8.36337348e+07 -1.38420560e+08  8.32687886e+07
 5.30117181e-03  4.17486773e-04 -5.76856938e-02 -1.64527455e+08 -6.77510548e+07  7.55831971e+07
 8.40986088e-03  2.81522699e-03 -1.45892383e-01  1.67235256e+08 -2.65337563e+07  4.74879339e+07
 1.51409810e-04 -4.56252129e-03 -2.75826387e-03 -7.84406465e+07  1.00416048e+08 -1.26454461e+08
 5.02442084e-03 -4.09283600e-03 -4.21711908e-02  2.06252209e+07  2.37408747e+07  1.70414397e+08
 5.36793984e-03 -4.03747048e-04 -7.32558611e-02 -2.47421500e+07  1.48442255e+08 -9.36694393e+07
 1.12562109e-02  6.43418460e-04 -1.20411996e-01 -1.67987266e+08  6.78861770e+07 -5.03133967e+06
 7.22292943e-03  2.70531529e-03 -4.94384341e-02 -8.98309826e+07  1.29071538e+08  8.44412982e+07
 4.79436314e-03  5.39535229e-03  3.27222780e-02  3.73099431e+07  1.46165181e+08  1.12910243e+08
 6.50752602e-04 -4.27662833e-03  9.08749544e-02  9.26780762e+07  6.31183673e+07  1.52644601e+08
 4.84542810e-03  8.59045908e-03 -1.44503925e-02  1.21470451e+08 -1.29894026e+08  3.42136431e+07
 8.39188299e-04  6.79082790e-03 -9.85999940e-02 -1.47781172e+08 -9.14357438e+07  2.12655475e+07
 7.44577111e-04 -3.48186880e-03  2.39684169e-03  1.05927229e+08  1.50484578e+08  7.74192356e+06
 1.01796959e-03 -2.72977406e-03 -2.82183551e-02  1.38949526e+08  8.58901237e+07 -4.54354865e+07
 7.42689278e-03 -1.47262977e-03  2.79180898e-02  7.04720915e+07  1.39613384e+08 -5.21434032e+07
 3.10776936e-03  1.76292967e-03 -4.86653500e-02  1.79650396e+08  2.75586593e+07  1.14126296e+07
 6.35650118e-03  7.34838901e-03 -3.32480659e-02  2.50040402e+07  1.85654696e+08  4.99050071e+07
 5.74223075e-03 -9.15414261e-03  3.13317701e-02  3.41865221e+07 -1.45717873e+08 -1.14950978e+08
 5.51945842e-03 -2.83777419e-04  1.17116625e-01 -1.04282000e+08 -1.19254807e+08 -7.07953891e+07
 4.57854440e-03 -5.01470324e-03 -3.45235523e-02  4.49619173e+07 -1.01039874e+08 -1.55065535e+08
 1.35782863e-02 -1.77901142e-02  1.32132803e-02 -1.05998200e+08 -3.19609099e+07  1.39935542e+08
